已开启演示模式，所有成绩均为演示作用
昵称:  Sample
课题模式: 彩51
RKS:  16.953333333333337
Data: 3TiB 4GiB 7MiB 3KiB

\    EZ   HD   IN   AT
C    283  283  283  42 
FC   283  283  283  42 
AT   283  283  283  42 

P1 Rrhar'il,  ACC: 100%, RKS: 17.6/17.6, Score:1000000
P2 QZKago Requiem,  ACC: 100%, RKS: 17.4/17.4, Score:1000000
P3 Igallta,  ACC: 100%, RKS: 17.4/17.4, Score:1000000

B1 Rrhar'il,  ACC: 100%, RKS: 17.6/17.6, Score:1000000
B2 QZKago Requiem,  ACC: 100%, RKS: 17.4/17.4, Score:1000000
B3 Igallta,  ACC: 100%, RKS: 17.4/17.4, Score:1000000
B4 Distorted Fate,  ACC: 100%, RKS: 17.4/17.4, Score:1000000
B5 祈 -我ら神祖と共に歩む者なり-,  ACC: 100%, RKS: 17.3/17.3, Score:1000000
B6 +ERABY+E CONNEC+10N,  ACC: 100%, RKS: 17.3/17.3, Score:1000000
B7 DESTRUCTION 3,2,1,  ACC: 100%, RKS: 17.3/17.3, Score:1000000
B8 Stardust:RAY,  ACC: 100%, RKS: 17.2/17.2, Score:1000000
B9 AbsoluTe disoRdeR,  ACC: 100%, RKS: 17.2/17.2, Score:1000000
B10 幻影鬼魅 (PLEASE),  ACC: 100%, RKS: 17.0/17.0, Score:1000000
B11 Re：End of a Dream,  ACC: 100%, RKS: 16.9/16.9, Score:1000000
B12 Der Richter,  ACC: 100%, RKS: 16.9/16.9, Score:1000000
B13 sølips,  ACC: 100%, RKS: 16.8/16.8, Score:1000000
B14 INFiNiTE ENERZY -Overdoze-,  ACC: 100%, RKS: 16.8/16.8, Score:1000000
B15 Cuvism³,  ACC: 100%, RKS: 16.8/16.8, Score:1000000
B16 Stasis,  ACC: 100%, RKS: 16.7/16.7, Score:1000000
B17 Spasmodic,  ACC: 100%, RKS: 16.7/16.7, Score:1000000
B18 Diamond Dust,  ACC: 100%, RKS: 16.7/16.7, Score:1000000
B19 volcanic,  ACC: 100%, RKS: 16.6/16.6, Score:1000000
B20 PRAGMATISM -RESURRECTION-,  ACC: 100%, RKS: 16.6/16.6, Score:1000000
B21 Avataar ~Reincarnation of Kalpa~,  ACC: 100%, RKS: 16.6/16.6, Score:1000000
B22 ATHAZA,  ACC: 100%, RKS: 16.6/16.6, Score:1000000
B23 Stardust:RAY,  ACC: 100%, RKS: 16.5/16.5, Score:1000000
B24 Lyrith -迷宮リリス-,  ACC: 100%, RKS: 16.5/16.5, Score:1000000
B25 Indelible Scar,  ACC: 100%, RKS: 16.5/16.5, Score:1000000
B26 Ark,  ACC: 100%, RKS: 16.5/16.5, Score:1000000
B27 祈 -我ら神祖と共に歩む者なり-,  ACC: 100%, RKS: 16.4/16.4, Score:1000000
B28 狂喜蘭舞,  ACC: 100%, RKS: 16.4/16.4, Score:1000000
————OVERFLOW————
B29 QZKago Requiem,  ACC: 100%, RKS: 16.4/16.4, Score:1000000
B30 PANIC PARADISE,  ACC: 100%, RKS: 16.4/16.4, Score:1000000
B31 KIZUNA Resolution,  ACC: 100%, RKS: 16.4/16.4, Score:1000000
B32 CROSS†SOUL,  ACC: 100%, RKS: 16.4/16.4, Score:1000000
B33 Antithese,  ACC: 100%, RKS: 16.4/16.4, Score:1000000
