2026-05-03 21:21:37.922823

发现计算rks(15.68828349148146)与云端获取rks(15.68828296661377)不同
请确认游戏是否更新定数或更改rks计算法则

昵称:  Tb
课题模式: 金45
RKS:  15.68828296661377
Data: 1GiB 784MiB 659KiB

\    EZ   HD   IN   AT
C    34  106  249  40 
FC   10  30  54   4 
AT    4   3   7   0 

P1 重生 IN,  ACC: 100.0000%, RKS: 14.300/14.3, Score:1000000
P2 Future Mind IN,  ACC: 100.0000%, RKS: 14.200/14.2, Score:1000000
P3 君往何处 (Quo Vadis) IN,  ACC: 100.0000%, RKS: 14.100/14.1, Score:1000000

B1 DESTRUCTION 3,2,1 AT,  ACC: 98.5236% >> 98.794%, RKS: 16.183/17.3, Score:919869
B2 Ark AT,  ACC: 99.5600% >> 99.837%, RKS: 16.179/16.5, Score:973616
B3 DESTRUCTION 3,2,1 IN,  ACC: 99.7520% >> 100.000%, RKS: 16.121/16.3, Score:983603
B4 彩 IN,  ACC: 99.5935% >> 99.872%, RKS: 16.105/16.4, Score:963193
B5 祈 -我ら神祖と共に歩む者なり- IN,  ACC: 99.5072% >> 99.786%, RKS: 16.043/16.4, Score:972433
B6 Indelible Scar AT,  ACC: 99.3496% >> 99.628%, RKS: 16.027/16.5, Score:930534
B7 Distorted Fate IN,  ACC: 99.5273% >> 99.807%, RKS: 15.959/16.3, Score:981860
B8 祈 -我ら神祖と共に歩む者なり- AT,  ACC: 98.1953% >> 98.467%, RKS: 15.940/17.3, Score:919516
B9 Ποσειδών AT,  ACC: 99.6376% >> 99.919%, RKS: 15.940/16.2, Score:968807
B10 volcanic AT,  ACC: 99.0788% >> 99.357%, RKS: 15.927/16.6, Score:949346
B11 Lyrith -迷宮リリス- IN,  ACC: 99.7553% >> 100.000%, RKS: 15.925/16.1, Score:996768
B12 Fractured Angel IN,  ACC: 99.4327% >> 99.713%, RKS: 15.892/16.3, Score:967034
B13 +ERABY+E CONNEC+10N IN,  ACC: 99.3235% >> 99.605%, RKS: 15.814/16.3, Score:951993
B14 Ad astra per aspera IN,  ACC: 99.2916% >> 99.573%, RKS: 15.791/16.3, Score:944893
B15 BANGING STRIKE AT,  ACC: 98.6136% >> 98.891%, RKS: 15.781/16.8, Score:934246
B16 Re：End of a Dream AT,  ACC: 98.4677% >> 98.745%, RKS: 15.769/16.9, Score:919397
B17 Cuvism³ AT,  ACC: 98.7270% >> 99.006%, RKS: 15.769/16.7, Score:941324
B18 GOODRAGE IN,  ACC: 99.6615% >> 99.946%, RKS: 15.760/16.0, Score:996954
B19 BANGING STRIKE IN,  ACC: 99.7756% >> 100.000%, RKS: 15.742/15.9, Score:997981
B20 Shadow AT,  ACC: 99.3572% >> 99.640%, RKS: 15.740/16.2, Score:994215
B21 K.Moe (VIP) IN,  ACC: 99.7358% >> 100.000%, RKS: 15.714/15.9, Score:997623
B22 Retribution ~ Cycle of Redemption ~  IN,  ACC: 99.2876% >> 99.571%, RKS: 15.691/16.2, Score:947131
B23 望影の方舟Six IN,  ACC: 99.6764% >> 99.963%, RKS: 15.672/15.9, Score:970455
B24 a truth seeker -Communication with Utopia will be lost- IN,  ACC: 99.7921% >> 100.000%, RKS: 15.654/15.8, Score:957662
B25 Cthugha AT,  ACC: 99.3629% >> 99.648%, RKS: 15.647/16.1, Score:975883
B26 白と黒のバケモノ IN,  ACC: 99.6199% >> 99.907%, RKS: 15.633/15.9, Score:996579
B27 Der Richter AT,  ACC: 98.2772% >> 98.555%, RKS: 15.631/16.9, Score:915429
————OVERFLOW————
B28 Chronostasis IN,  ACC: 99.4759% >> 99.763%, RKS: 15.629/16.0, Score:989351
B29 Re：End of a Dream IN,  ACC: 99.5953% >> 99.904%, RKS: 15.615/15.9, Score:983693
B30 Incyde IN,  ACC: 99.1717% >> 99.486%, RKS: 15.609/16.2, Score:944257
B31 Rrhar'il IN,  ACC: 99.3077% >> 99.624%, RKS: 15.608/16.1, Score:983654
B32 QZKago Requiem IN,  ACC: 99.0230% >> 99.350%, RKS: 15.600/16.3, Score:942832
B33 Chronos Collapse - La Campanella IN,  ACC: 98.9500% >> 99.350%, RKS: 15.548/16.3, Score:956843
B34 Spasmodic AT,  ACC: 98.3662% >> 98.815%, RKS: 15.509/16.7, Score:922271
B35 Verrückt IN,  ACC: 98.6070% >> 99.080%, RKS: 15.494/16.5, Score:921261
B36 明鏡烈火 IN,  ACC: 99.4131% >> 99.904%, RKS: 15.488/15.9, Score:969436
B37 Cthugha IN,  ACC: 99.2723% >> 99.763%, RKS: 15.487/16.0, Score:963593
B38 Aleph-0 IN,  ACC: 99.2655% >> 99.763%, RKS: 15.482/16.0, Score:968192
B39 NO x IN,  ACC: 99.1261% >> 99.624%, RKS: 15.481/16.1, Score:954883
