2025-06-14 22:04:12.367387
Save version:  6
Challenge mode rank:  339
RKS:  14.880435943603516
GameVersion:  -128
Avatar:  Xenolith
Data: 867MiB 70KiB
/    EZ   HD   IN   AT
C    34  104  211  15 
FC   10  29  33   1 
AT    4   3   4   0 

P1 BreakOver.Kforest, ACC: 100%, RKS: 14.1/14.1 Score:1000000
P2 Dlyrotz.Likey, ACC: 100%, RKS: 13.7/13.7 Score:1000000
P3 AphroditesChildshortver.RUQOA, ACC: 100%, RKS: 13.3/13.3 Score:1000000

B1 DistortedFate.Sakuzyo, ACC: 99.07%, RKS: 15.63/16.3 Score:954348
B2 DESTRUCTION321.Normal1zervsBrokenNerdz, ACC: 99.03%, RKS: 15.6/16.3 Score:957239
B3 ComputeItWithSomeDevilishAlcoholicSteampunkEngines.かめりあ, ACC: 99.45%, RKS: 15.42/15.8 Score:995066
B4 千紫万紅.r0yvsWABI, ACC: 99.68%, RKS: 15.38/15.6 Score:984900
B5 Retribution.nmyKryexe, ACC: 98.72%, RKS: 15.29/16.2 Score:947968
B6 Chronostasis.黒皇帝, ACC: 98.8%, RKS: 15.16/16.0 Score:949570
B7 望影の方舟Six.SeURa, ACC: 98.86%, RKS: 15.11/15.9 Score:932280
B8 DontNeverAround.HAMA, ACC: 99.43%, RKS: 15.11/15.5 Score:994348
B9 atruthseekerCommunicationwithUtopiawillbelost.kuro, ACC: 98.96%, RKS: 15.08/15.8 Score:938109
B10 FracturedAngel.DJRaisei, ACC: 98.26%, RKS: 15.06/16.3 Score:934719
B11 ReEndofaDream.umavsモリモリあつし, ACC: 98.78%, RKS: 15.05/15.9 Score:938811
B12 AfterDawn.S9ryne, ACC: 99.54%, RKS: 14.99/15.3 Score:960928
B13 Adastraperaspera.RabbitHouse, ACC: 98.08%, RKS: 14.94/16.3 Score:909278
B14 CrushBETA.shadow_bling, ACC: 99.61%, RKS: 14.94/15.2 Score:973675
B15 青丘.BLACK0, ACC: 99.1%, RKS: 14.89/15.5 Score:959180
B16 Rrharil.TeamGrimoire, ACC: 98.27%, RKS: 14.89/16.1 Score:939269
B17 csqn.Aoi, ACC: 98.52%, RKS: 14.87/15.9 Score:938072
B18 ChronosCollapseLaCampanella.SunsetRay, ACC: 97.94%, RKS: 14.84/16.3 Score:924293
B19 Feast远东之宴.茶鸣拾贰律, ACC: 99%, RKS: 14.82/15.5 Score:955900
B20 幻影鬼魅PLEASE.R300K, ACC: 99.58%, RKS: 14.82/15.1 Score:996208
B21 Palescreen.WyvernPfeatMadol, ACC: 98.44%, RKS: 14.82/15.9 Score:925826
B22 インフェルノシティ.Ponchifeatはぁち, ACC: 98.71%, RKS: 14.81/15.7 Score:924667
B23 valorstarcross.LundyvsWyvren, ACC: 98.55%, RKS: 14.8/15.8 Score:924358
B24 明鏡烈火.MUEvsRekuMochizuki, ACC: 98.41%, RKS: 14.8/15.9 Score:937032
B25 Spasmodic.姜米條颶風元力上人, ACC: 98.92%, RKS: 14.77/15.5 Score:964899
B26 风屿.闫东炜, ACC: 99.44%, RKS: 14.73/15.1 Score:993277
B27 Cthugha.USAO, ACC: 98.16%, RKS: 14.72/16.0 Score:928871
B28 双重间谍DoubleAgent.WAVAV, ACC: 98.55%, RKS: 14.71/15.7 Score:924287
————OVERFLOW————
B29 ElCondorPasaPhigrosEdit.PlasticFruits, ACC: 98.67%, RKS: 14.69/15.6 Score:955811
B30 Stasis.Maozon, ACC: 99.09%, RKS: 14.69/15.3 Score:945885
B31 Schadenfreude.ZxNX, ACC: 99.23%, RKS: 14.69/15.2 Score:951508
B32 蝎虎天体Lacertid.CreamvsDaily天利, ACC: 98.78%, RKS: 14.67/15.5 Score:952233
B33 InvertedWorld.ARForest, ACC: 98.73%, RKS: 14.64/15.5 Score:938829
